site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-08,5,0.0163,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,6,0.0193,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,7,0.0185,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,8,0.0245,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,9,0.0338,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,10,0.0468,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,11,0.0542,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,12,0.0449,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,13,0.0241,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,14,0.0124,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,15,0.0113,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,16,0.0239,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,17,0.0373,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,18,0.0335,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,19,0.0289,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,20,0.0326,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,21,0.0321,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,22,0.0308,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,23,0.0285,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,0,0.0289,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,1,0.0282,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,2,0.0250,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,3,0.0225,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,4,0.0211,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,5,0.0194,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,6,0.0202,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,7,0.0231,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,8,0.0262,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,9,0.0170,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-09,10,0.0292,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
