site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
5408,t,2019-01-05,15,1.37,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,16,4.86,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,17,5.52,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,18,-0.39,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,19,2.57,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,20,1.88,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,21,3.85,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,22,3.74,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-05,23,0.13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,0,1.13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,1,1.81,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,2,3.49,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,3,2.24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,4,-1.42,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,5,1.75,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,6,1.15,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,7,1.86,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,8,3.62,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,9,7.47,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,10,7.82,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,11,4.18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,12,4.34,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,13,5.67,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,14,9.88,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,15,8.95,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,16,6.09,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,17,0.92,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,18,5.42,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,19,3.46,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,20,2.78,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,21,2.19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
5408,t,2019-01-06,22,2.86,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sonny Bono 
