site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-08,9,0.3560,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,10,0.2110,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,11,0.1710,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,12,0.1540,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,13,0.1770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,14,0.1580,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,15,0.1990,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,16,0.2400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,17,0.6930,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,18,1.1850,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,19,1.6070,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,20,2.8200,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,21,1.8130,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,22,1.4780,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,23,1.5840,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,0,1.6230,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,1,1.7960,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,2,2.4900,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,3,2.5730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,5,2.1640,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,6,2.2870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,7,0.6190,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,8,0.6400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,9,0.2610,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-09,10,0.1460,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
